City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Kodiak,US,57.79,-152.4072,42.8,49,1,6.91,clear sky
174,Nanortalik,GL,60.1432,-45.2371,30.63,93,100,18.54,light snow
175,Bairiki,KI,1.3292,172.9752,86.0,66,40,10.36,scattered clouds
176,Padang,ID,-0.9492,100.3543,80.6,74,40,3.44,scattered clouds
177,Chalus,IR,36.655,51.4204,46.4,100,90,9.22,overcast clouds
178,Harer,ET,9.3094,42.1258,55.92,38,90,2.68,overcast clouds
179,Kahului,US,20.8947,-156.47,77.0,61,40,21.85,scattered clouds
180,Nelson Bay,AU,-32.7167,152.15,89.01,51,100,8.05,overcast clouds
181,Half Moon Bay,US,37.4636,-122.4286,50.0,76,40,9.22,scattered clouds
182,Ixtapa,MX,20.7,-105.2,73.99,88,20,2.82,few clouds
183,Crixas,BR,-14.5489,-49.9692,71.67,88,96,3.24,overcast clouds
184,Bereda,ES,43.2686,-7.5406,39.99,98,25,7.0,scattered clouds
185,Syamzha,RU,60.0158,41.0614,9.46,95,100,9.48,light snow
186,Burnie,AU,-41.0667,145.9167,69.01,58,100,3.0,overcast clouds
187,Biala Podlaska,PL,52.0324,23.1165,28.4,86,40,8.95,scattered clouds
188,Gold Coast,AU,-28.0,153.4333,82.99,69,40,18.41,scattered clouds
189,Kampene,CD,-3.6,26.6667,65.46,98,100,1.07,light rain
190,Toowoomba,AU,-27.55,151.9667,86.0,42,75,12.66,light rain
191,Portobelo,PA,9.55,-79.65,81.0,80,70,1.01,broken clouds
192,Chokurdakh,RU,70.6333,147.9167,-10.95,89,100,10.2,overcast clouds
193,Saint George,US,37.1041,-113.5841,64.0,18,1,5.75,clear sky
194,Cloppenburg,DE,52.85,8.0333,35.01,90,54,3.78,broken clouds
195,Huarmey,PE,-10.0681,-78.1522,73.31,80,100,6.93,overcast clouds
196,Pizarro,CO,4.9533,-77.366,77.43,90,100,7.85,moderate rain
197,Opunake,NZ,-39.4556,173.8583,66.0,63,76,10.0,broken clouds
198,Te Anau,NZ,-45.4167,167.7167,59.5,48,100,1.5,moderate rain
199,Clyde River,CA,70.4692,-68.5914,-23.8,69,1,2.3,clear sky
200,Kulhudhuffushi,MV,6.6221,73.07,82.87,67,61,6.96,broken clouds
201,Komsomolskiy,UZ,40.4272,71.7189,42.8,81,74,4.61,mist
202,Salinas,US,36.6777,-121.6555,51.8,76,1,4.61,clear sky
203,Touros,BR,-5.1989,-35.4608,75.2,94,20,4.61,few clouds
204,Rehoboth,NA,-23.3167,17.0833,63.45,33,2,3.18,clear sky
205,Sao Filipe,CV,14.8961,-24.4956,69.46,75,0,15.41,clear sky
206,Brae,GB,60.3964,-1.353,41.0,75,90,16.11,overcast clouds
207,Puerto Escondido,MX,15.85,-97.0667,78.8,78,1,5.73,clear sky
208,Honningsvag,NO,70.9821,25.9704,28.81,89,98,14.54,light snow
209,Taguatinga,BR,-12.3857,-46.5711,72.86,87,94,1.39,overcast clouds
210,Labuhan,ID,-6.8844,112.2051,84.09,72,76,11.25,broken clouds
211,Saldanha,ZA,-33.0117,17.9442,57.2,82,97,5.75,overcast clouds
212,Gizo,SB,-8.103,156.8419,83.98,70,100,4.38,light rain
213,Methoni,GR,36.8197,21.7049,52.0,93,20,6.06,few clouds
214,Mayo,US,38.8876,-76.5119,32.0,64,1,7.09,clear sky
215,Winneba,GH,5.3511,-0.6231,82.4,89,20,8.05,few clouds
216,Bambanglipuro,ID,-7.95,110.2833,84.88,65,90,7.92,light rain
217,Alofi,NU,-19.0595,-169.9187,80.6,89,75,9.22,light rain
218,Fortuna,US,40.5982,-124.1573,46.99,87,1,5.75,clear sky
219,Kpandae,GH,8.4689,-0.0113,81.5,66,29,6.31,scattered clouds
220,Ouargaye,BF,11.5033,0.0572,80.78,16,29,6.4,scattered clouds
221,Koumac,NC,-20.5667,164.2833,78.55,75,80,9.6,broken clouds
222,Razdolinsk,RU,58.4211,94.6658,13.71,96,100,5.55,overcast clouds
223,Barcelos,PT,41.5388,-8.6151,46.0,100,75,4.61,broken clouds
224,Glubokiy,RU,48.5217,40.3258,29.52,90,25,15.84,scattered clouds
225,Mnogovershinnyy,RU,53.9353,139.9242,11.7,91,0,7.96,clear sky
226,Nanaimo,CA,49.1663,-123.936,44.6,70,55,24.16,broken clouds
227,Maceio,BR,-9.6658,-35.7353,73.4,94,0,3.44,clear sky
228,Bethel,US,41.3712,-73.414,27.0,55,25,6.38,scattered clouds
229,Natal,BR,-5.795,-35.2094,78.8,89,40,3.44,scattered clouds
230,Mogadishu,SO,2.0371,45.3438,78.21,82,15,17.96,few clouds
231,Gouyave,GD,12.1646,-61.7296,78.8,83,75,16.11,broken clouds
232,Oranjemund,NA,-28.55,16.4333,62.55,89,62,9.6,broken clouds
233,Kutum,SD,14.2,24.6667,55.33,29,0,7.11,clear sky
234,Kruisfontein,ZA,-34.0033,24.7314,66.99,77,38,4.0,scattered clouds
235,Torbay,CA,47.6666,-52.7314,30.0,74,90,12.66,overcast clouds
236,Geraldton,AU,-28.7667,114.6,96.8,26,0,9.22,clear sky
237,Lavrentiya,RU,65.5833,-171.0,33.49,95,100,25.23,snow
238,Bathsheba,BB,13.2167,-59.5167,78.8,65,40,24.16,scattered clouds
239,Tuatapere,NZ,-46.1333,167.6833,57.0,80,99,11.99,overcast clouds
240,Balikpapan,ID,-1.2675,116.8289,87.44,57,85,3.13,overcast clouds
241,Novopokrovka,UA,49.8425,36.5477,33.8,69,90,15.66,overcast clouds
242,Takoradi,GH,4.8845,-1.7554,79.25,88,3,9.53,clear sky
243,Lasa,IT,46.6166,10.7002,34.0,93,0,5.75,clear sky
244,Santarem,BR,-2.4431,-54.7083,78.8,94,40,6.91,scattered clouds
245,Naryan-Mar,RU,67.6713,53.087,-28.98,85,82,8.08,broken clouds
246,Ngunguru,NZ,-35.6167,174.5,69.01,63,0,11.01,clear sky
247,Ekibastuz,KZ,51.6667,75.3667,29.32,94,100,21.63,overcast clouds
248,Simoes,BR,-7.5989,-40.8178,71.98,69,0,3.09,clear sky
249,Kapit,MY,2.0167,112.9333,82.71,82,100,2.15,overcast clouds
250,Griffith,US,41.5284,-87.4237,44.6,60,1,6.91,clear sky
251,Georgetown,MY,5.4112,100.3354,86.0,70,20,3.44,few clouds
252,Ola,RU,59.5833,151.2833,1.13,80,0,3.67,clear sky
253,Port Lincoln,AU,-34.7333,135.8667,66.76,64,32,16.53,scattered clouds
254,Tupik,RU,54.4253,119.9327,26.35,92,98,7.96,overcast clouds
255,Oostburg,US,43.6228,-87.7945,36.0,80,1,11.5,clear sky
256,Khani,GE,41.9563,42.9566,33.8,100,90,6.91,light snow
257,Sinnamary,GF,5.3833,-52.95,77.22,89,80,12.68,broken clouds
258,Guerrero Negro,MX,27.9769,-114.0611,57.54,82,94,14.97,overcast clouds
259,Awjilah,LY,29.1081,21.2869,58.68,40,0,5.39,clear sky
260,Sitka,US,57.0531,-135.33,44.6,65,75,3.6,broken clouds
261,Vagur,FO,61.4732,-6.8119,43.2,87,0,7.92,clear sky
262,Saskylakh,RU,71.9167,114.0833,-27.89,83,18,2.71,few clouds
