City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
358,Bengkulu,ID,75.45,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
363,Acarau,BR,79.32,overcast clouds,-2.8856,-40.12,castelo pizzaria
367,Nortelandia,BR,71.91,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
369,Tautira,PF,87.8,broken clouds,-17.7333,-149.15,Pension Oaoa
370,Touros,BR,78.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
373,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
377,Salto Del Guaira,PY,72.82,clear sky,-24.0625,-54.3069,7 Saltos Resort
380,Sokoni,TZ,80.6,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
381,Nieuw Amsterdam,SR,77.0,scattered clouds,5.8833,-55.0833,Hotel Stardust
385,Poum,NC,80.15,clear sky,-20.2333,164.0167,Gîte kajeon
391,Batemans Bay,AU,75.0,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
393,Balabac,PH,81.99,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
396,Candolim,IN,78.8,mist,15.5181,73.7626,Resort Terra Paraiso
400,Deming,US,77.0,few clouds,32.2687,-107.7586,Best Western Deming Southwest Inn
402,Boueni,YT,78.8,light rain,-12.9025,45.0761,The feet in water
406,Puerto Escondido,MX,80.6,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
411,Banda Aceh,ID,77.74,few clouds,5.5577,95.3222,Sulthan Hotel International
412,Ambilobe,MG,73.94,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
415,Chimore,BO,76.8,overcast clouds,-16.9833,-65.1333,Bichito
416,Ouesso,CG,71.06,light rain,1.6136,16.0517,Hôtel ABENI
420,Kailua,US,78.8,moderate rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
421,Bhum,IN,73.4,clear sky,18.4667,75.6667,धनंजय होम
423,Mana,GF,77.43,overcast clouds,5.6592,-53.7767,LE SAMANA
425,Kirakira,SB,85.28,overcast clouds,-10.4544,161.9205,SanBiz Lodge
427,Port-Gentil,GA,80.6,few clouds,-0.7193,8.7815,Fengshui Residence
435,Kalmunai,LK,77.79,scattered clouds,7.4167,81.8167,VS Villa
437,Mount Isa,AU,86.0,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
444,Socorro,US,78.8,broken clouds,31.6546,-106.3033,guarderia imss papalote
445,Cabedelo,BR,78.8,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
448,Sampit,ID,74.7,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
450,Kopong,BW,73.81,scattered clouds,-24.4833,25.8833,Kopong Guest House
451,Alenquer,BR,78.8,clear sky,-1.9417,-54.7383,Josilene Castro
453,Kiama,AU,79.0,few clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
454,Samarai,PG,83.03,scattered clouds,-10.6167,150.6667,Nuli Sapi
456,Angoche,MZ,75.22,overcast clouds,-16.2325,39.9086,Guest House HESADA
460,Vao,NC,74.95,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
461,Umm Lajj,SA,73.42,clear sky,25.0213,37.2685,Moon light Furnished Units
