City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Malanje,AO,2021-03-04 05:28:09,-9.5402,16.341,64.67,97,100,2.17
100,Castro,BR,2021-03-04 05:28:10,-24.7911,-50.0119,62.8,96,100,3.56
101,Jaffna,LK,2021-03-04 05:28:11,9.6685,80.0074,82.04,60,19,9.08
102,Leninskiy,RU,2021-03-04 05:28:11,54.2781,37.4558,29.23,96,88,16.69
103,Lebu,CL,2021-03-04 05:28:12,-37.6167,-73.65,59.4,85,0,16.49
104,Saint-Philippe,RE,2021-03-04 05:28:12,-21.3585,55.7679,86.0,58,0,5.75
105,Cayenne,GF,2021-03-04 05:28:13,4.9333,-52.3333,79.0,89,75,3.44
106,Port Hardy,CA,2021-03-04 05:28:14,50.6996,-127.4199,44.6,87,90,10.36
107,Rio Branco,BR,2021-03-04 05:28:14,-9.9747,-67.81,73.4,100,20,5.75
108,Biak,ID,2021-03-04 05:28:15,-0.9131,122.8766,80.28,69,100,3.91
109,Severo-Yeniseyskiy,RU,2021-03-04 05:28:17,60.3725,93.0408,-2.74,89,100,6.93
110,Buala,SB,2021-03-04 05:28:18,-8.145,159.5921,80.64,82,96,10.31
111,Narsaq,GL,2021-03-04 05:28:19,60.9167,-46.05,48.2,34,75,44.87
112,Srednekolymsk,RU,2021-03-04 05:24:53,67.45,153.6833,-21.19,86,100,16.31
113,Ilulissat,GL,2021-03-04 05:26:56,69.2167,-51.1,26.6,80,91,12.66
114,Busselton,AU,2021-03-04 05:28:21,-33.65,115.3333,77.0,63,32,7.0
115,Cape Town,ZA,2021-03-04 05:28:21,-33.9258,18.4232,68.0,88,75,11.5
116,Novokizhinginsk,RU,2021-03-04 05:28:22,51.6115,109.5917,2.91,82,0,11.48
117,Southbridge,US,2021-03-04 05:28:22,42.0751,-72.0334,37.4,60,90,12.66
118,Jalingo,NG,2021-03-04 05:28:23,8.8833,11.3667,74.35,19,18,5.26
119,Sinalunga,IT,2021-03-04 05:28:23,43.2152,11.7495,44.01,85,0,1.54
120,Hof,DE,2021-03-04 05:28:23,50.3167,11.9167,39.0,86,77,4.0
121,Saint George,US,2021-03-04 05:27:14,37.1041,-113.5841,55.4,30,90,12.66
122,Pemba,MZ,2021-03-04 05:28:24,-12.974,40.5178,78.8,94,75,10.36
123,Karratha,AU,2021-03-04 05:28:25,-20.7377,116.8463,87.91,47,24,10.92
124,Sangar,RU,2021-03-04 05:28:25,63.9242,127.4739,-26.95,84,100,8.19
125,Saint-Augustin,CA,2021-03-04 05:28:26,51.226,-58.6502,12.69,96,58,3.96
126,Barranca,PE,2021-03-04 05:28:26,-10.75,-77.7667,71.98,77,91,3.8
127,Katsuura,JP,2021-03-04 05:26:13,35.1333,140.3,55.99,58,75,4.61
128,Kaitangata,NZ,2021-03-04 05:28:28,-46.2817,169.8464,57.0,79,58,12.71
129,Sisimiut,GL,2021-03-04 05:28:28,66.9395,-53.6735,22.39,90,90,12.66
130,Guanica,PR,2021-03-04 05:28:29,17.9716,-66.908,71.01,80,5,1.01
131,Ciudad Bolivar,VE,2021-03-04 05:28:29,8.1222,-63.5497,75.7,76,13,12.03
132,Otofuke,JP,2021-03-04 05:28:30,42.9917,143.2003,28.4,59,20,6.91
133,Harper,LR,2021-03-04 05:28:34,4.375,-7.7169,78.75,89,9,7.99
134,Yellowknife,CA,2021-03-04 05:25:00,62.456,-114.3525,-11.99,70,20,9.22
